Index,Label,Red,Green,Blue
1,Left_I_IV,249,207,181
2,Right_I_IV,240,148,111
3,Left_V,201,156,0
4,Right_V,135,105,0
5,Left_VI,0,255,0
6,Vermis_VI,0,128,0
7,Right_VI,0,255,0
8,Left_CrusI,255,255,0
9,Vermis_CrusI,255,255,204
10,Right_CrusI,255,255,0
11,Left_CrusII,255,128,0
12,Vermis_CrusII,128,64,0
13,Right_CrusII,255,128,0
14,Left_VIIb,255,0,0
15,Vermis_VIIb,255,150,150
16,Right_VIIb,255,0,0
17,Left_VIIIa,255,0,255
18,Vermis_VIIIa,128,0,128
19,Right_VIIIa,255,0,255
20,Left_VIIIb,0,100,0
21,Vermis_VIIIb,0,50,0
22,Right_VIIIb,0,100,0
23,Left_IX,0,0,255
24,Vermis_IX,0,0,128
25,Right_IX,0,0,255
26,Left_X,0,255,255
27,Vermis_X,0,128,128
28,Right_X,0,255,255
29,Left_Dentate,204,204,204
30,Right_Dentate,204,204,204
31,Left_Interposed,128,128,128
32,Right_Interposed,128,128,128
33,Left_Fastigial,102,102,102
34,Right_Fastigial,102,102,102

